multi_query_id,query_id,selected_plans,total_cost
38,7,q_38_7,-3982.0
39,1,"q_39_10,q_39_11,q_39_14,q_39_16",-3982.0
39,2,q_39_2,-3982.0
39,3,q_39_3,-3982.0
39,5,q_39_5,-3982.0
39,6,q_39_6,-3982.0
40,1,"q_40_11,q_40_13,q_40_17,q_40_18",-3982.0
40,3,q_40_3,-3982.0
40,5,q_40_5,-3982.0
40,7,q_40_7,-3982.0
41,1,"q_41_1,q_41_10,q_41_11,q_41_14,q_41_15,q_41_16,q_41_17,q_41_19",-3982.0
41,4,q_41_4,-3982.0
41,5,q_41_5,-3982.0
41,6,q_41_6,-3982.0
41,7,q_41_7,-3982.0
42,0,q_42_0,-3982.0
42,1,"q_42_1,q_42_11,q_42_13,q_42_14,q_42_16,q_42_17,q_42_18,q_42_19",-3982.0
42,4,q_42_4,-3982.0
42,6,q_42_6,-3982.0
42,7,q_42_7,-3982.0
43,0,q_43_0,-3982.0
43,1,"q_43_10,q_43_13,q_43_14,q_43_15,q_43_17,q_43_19",-3982.0
43,2,q_43_2,-3982.0
43,3,q_43_3,-3982.0
43,4,q_43_4,-3982.0
43,5,q_43_5,-3982.0
43,7,q_43_7,-3982.0
44,0,q_44_0,-3982.0
44,1,"q_44_1,q_44_10,q_44_13,q_44_14,q_44_15,q_44_16",-3982.0
44,3,q_44_3,-3982.0
44,4,q_44_4,-3982.0
44,6,q_44_6,-3982.0
45,1,"q_45_12,q_45_14",-3982.0
45,2,q_45_2,-3982.0
45,4,q_45_4,-3982.0
45,5,q_45_5,-3982.0
46,0,q_46_0,-3982.0
46,1,"q_46_1,q_46_11,q_46_13,q_46_15,q_46_16,q_46_17,q_46_18",-3982.0
46,3,q_46_3,-3982.0
46,5,q_46_5,-3982.0
46,6,q_46_6,-3982.0
47,1,"q_47_10,q_47_11,q_47_16,q_47_17",-3982.0
47,2,"q_47_2,q_47_21",-3982.0
47,3,q_47_3,-3982.0
47,5,q_47_5,-3982.0
47,7,q_47_7,-3982.0
48,0,q_48_0,-3982.0
48,1,"q_48_1,q_48_12,q_48_14,q_48_15",-3982.0
48,3,q_48_3,-3982.0
48,4,q_48_4,-3982.0
48,5,q_48_5,-3982.0
48,6,q_48_6,-3982.0
49,1,"q_49_1,q_49_10,q_49_12,q_49_13,q_49_15,q_49_16",-3982.0
49,2,q_49_2,-3982.0
49,3,q_49_3,-3982.0
49,4,q_49_4,-3982.0
49,6,q_49_6,-3982.0
50,0,q_50_0,-3982.0
50,1,"q_50_1,q_50_10,q_50_11,q_50_12,q_50_15",-3982.0
50,2,q_50_2,-3982.0
50,3,q_50_3,-3982.0
50,4,q_50_4,-3982.0
50,5,q_50_5,-3982.0
51,1,"q_51_1,q_51_10,q_51_11,q_51_12,q_51_13,q_51_16",-3982.0
51,2,q_51_2,-3982.0
51,3,q_51_3,-3982.0
51,4,q_51_4,-3982.0
51,5,q_51_5,-3982.0
51,6,q_51_6,-3982.0
52,0,q_52_0,-3982.0
52,1,"q_52_1,q_52_12,q_52_13,q_52_14,q_52_15",-3982.0
52,2,q_52_2,-3982.0
52,3,q_52_3,-3982.0
52,5,q_52_5,-3982.0
52,6,q_52_6,-3982.0
53,0,q_53_0,-3982.0
53,1,"q_53_1,q_53_10,q_53_11,q_53_12,q_53_14,q_53_15,q_53_16,q_53_17,q_53_18",-3982.0
53,2,"q_53_2,q_53_20",-3982.0
53,5,q_53_5,-3982.0
53,7,q_53_7,-3982.0
54,0,q_54_0,-3982.0
54,1,"q_54_1,q_54_12,q_54_14,q_54_16",-3982.0
54,2,q_54_2,-3982.0
54,3,q_54_3,-3982.0
54,4,q_54_4,-3982.0
55,1,"q_55_1,q_55_10,q_55_11,q_55_12,q_55_13,q_55_15,q_55_16,q_55_18,q_55_19",-3982.0
55,2,"q_55_2,q_55_20",-3982.0
55,3,q_55_3,-3982.0
55,4,q_55_4,-3982.0
55,5,q_55_5,-3982.0
55,6,q_55_6,-3982.0
55,7,q_55_7,-3982.0
56,0,q_56_0,-3982.0
56,1,"q_56_1,q_56_10,q_56_11,q_56_13,q_56_14,q_56_15,q_56_16",-3982.0
56,2,q_56_2,-3982.0
56,4,q_56_4,-3982.0
56,5,q_56_5,-3982.0
56,7,q_56_7,-3982.0
57,0,q_57_0,-3982.0
57,1,"q_57_1,q_57_10,q_57_12,q_57_13,q_57_15,q_57_16,q_57_17,q_57_18",-3982.0
57,6,q_57_6,-3982.0
58,0,q_58_0,-3982.0
58,1,"q_58_1,q_58_10,q_58_11,q_58_13,q_58_14,q_58_15,q_58_16",-3982.0
58,3,q_58_3,-3982.0
58,5,q_58_5,-3982.0
59,1,"q_59_1,q_59_10,q_59_12,q_59_14,q_59_15,q_59_17,q_59_18",-3982.0
59,2,q_59_2,-3982.0
59,3,q_59_3,-3982.0
59,5,q_59_5,-3982.0
59,7,q_59_7,-3982.0
60,0,q_60_0,-3982.0
60,1,"q_60_1,q_60_10,q_60_11,q_60_12,q_60_13,q_60_14,q_60_15,q_60_16,q_60_17",-3982.0
60,2,q_60_2,-3982.0
60,5,q_60_5,-3982.0
60,6,q_60_6,-3982.0
61,1,"q_61_10,q_61_12,q_61_13,q_61_15,q_61_16,q_61_17,q_61_18",-3982.0
61,2,q_61_2,-3982.0
61,3,q_61_3,-3982.0
61,4,q_61_4,-3982.0
61,5,q_61_5,-3982.0
61,6,q_61_6,-3982.0
61,7,q_61_7,-3982.0
62,0,q_62_0,-3982.0
62,1,"q_62_1,q_62_10,q_62_13,q_62_14,q_62_16,q_62_17,q_62_18",-3982.0
62,2,"q_62_2,q_62_20",-3982.0
62,5,q_62_5,-3982.0
63,0,q_63_0,-3982.0
63,1,"q_63_1,q_63_11,q_63_12,q_63_13,q_63_14,q_63_15,q_63_16,q_63_17",-3982.0
63,2,q_63_2,-3982.0
63,3,q_63_3,-3982.0
64,1,"q_64_1,q_64_11,q_64_12,q_64_15,q_64_17",-3982.0
64,2,q_64_2,-3982.0
65,0,q_65_0,-3982.0
65,1,"q_65_11,q_65_12,q_65_17,q_65_18",-3982.0
65,3,q_65_3,-3982.0
65,4,q_65_4,-3982.0
65,5,q_65_5,-3982.0
65,6,q_65_6,-3982.0
65,7,q_65_7,-3982.0
66,0,q_66_0,-3982.0
66,1,"q_66_10,q_66_13,q_66_14,q_66_17",-3982.0
66,2,q_66_2,-3982.0
66,3,q_66_3,-3982.0
66,4,q_66_4,-3982.0
66,5,q_66_5,-3982.0
67,0,q_67_0,-3982.0
67,1,"q_67_1,q_67_11,q_67_13,q_67_15,q_67_17",-3982.0
67,2,q_67_2,-3982.0
67,3,q_67_3,-3982.0
67,4,q_67_4,-3982.0
67,5,q_67_5,-3982.0
67,6,q_67_6,-3982.0
67,7,q_67_7,-3982.0
68,0,q_68_0,-3982.0
68,1,"q_68_1,q_68_10,q_68_13,q_68_14,q_68_15,q_68_18",-3982.0
68,2,"q_68_2,q_68_20,q_68_21,q_68_22",-3982.0
68,3,q_68_3,-3982.0
68,4,q_68_4,-3982.0
68,5,q_68_5,-3982.0
68,6,q_68_6,-3982.0
68,7,q_68_7,-3982.0
69,0,q_69_0,-3982.0
69,1,"q_69_1,q_69_13,q_69_14,q_69_15,q_69_16,q_69_17",-3982.0
69,2,q_69_2,-3982.0
69,3,q_69_3,-3982.0
69,5,q_69_5,-3982.0
69,6,q_69_6,-3982.0
70,1,"q_70_1,q_70_10,q_70_11,q_70_14",-3982.0
70,2,q_70_2,-3982.0
70,3,q_70_3,-3982.0
70,4,q_70_4,-3982.0
70,6,q_70_6,-3982.0
71,0,q_71_0,-3982.0
71,1,"q_71_11,q_71_12,q_71_13",-3982.0
71,3,q_71_3,-3982.0
